Apple,Washington,DC,https://jobs.apple.com/en-us/search,Declan McCue,Technology
Metlife,Cary,NC,https://www.metlifecareers.com/en_US/ml/Home,Sayuj Goorha,Financial Services
Epic Games,Cary,NC,https://www.epicgames.com/site/careers,N/A,Technology
Wells Fargo,Charlotte,NC,https://www.wellsfargojobs.com/en/jobs/?search=Computer+Science&country=United+States+of+America&region=North+Carolina&location=CHARLOTTE&team=Data+%26+Analytics&team=Technology&pagesize=20#results,Dad,Financial Services
LPL,Charlotte,NC,https://career.lpl.com/,N/A,Financial Services
Ally Financial,Charlotte,NC,https://ally.avature.net/careers/SearchJobs/?667=%5B265477%5D&667_format=613&listFilterMode=1&jobRecordsPerPage=6&,N/A,Financial Services
Lowe's,Charlotte,NC,https://talent.lowes.com/us/en/,N/A,Retail
Honeywell,Charlotte,NC,https://careers.honeywell.com/en/sites/Honeywell,Uncle John (attorneyed for them before),Manufacturing
Brighthouse Financial,Charlotte,NC,https://jobs.brighthousefinancial.com/,N/A,Financial Services
AvidXchange,Charlotte,NC,https://www.avidxchange.com/about/careers/,N/A,Technology
Oshkosh,Charlotte,NC,https://careers.oshkoshcorp.com/us/en/,N/A,Manufacturing
SMBC,Charlotte,NC,https://www.smbcgroup.com/americas/Careers,N/A,Financial Services
IBM,Durham,NC,https://www.ibm.com/careers/search,N/A,Technology
Cisco,Durham,NC,https://careers.cisco.com/global/en,N/A,Technology
Fidelity,Durham,NC,https://jobs.fidelity.com/en/,N/A,Financial Services
CoVar,Durham,NC,https://covar.com/careers-local/,N/A,Technology
Qorvo,Greensboro,NC,https://careers.qorvo.com/search/?createNewAlert=false&q=Computer+Science&optionsFacetsDD_city=Greensboro&optionsFacetsDD_country=&optionsFacetsDD_department=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=&optionsFacetsDD_customfield4=,N/A,Technology
General Dynamics,Greensboro,NC,https://www.gd.com/careers,N/A,Defense & Aerospace
Volvo,Greensboro,NC,https://www.volvogroup.com/en/careers.html,N/A,Automotive
Syngenta,Greensboro,NC,https://www.syngenta.com/careers,N/A,Agriculture
Lincoln Financial,Greensboro,NC,https://jobs.lincolnfinancial.com/search/?q=Computer+Science&q2=&alertId=&title=&department=&location=Charlotte#searchresults,N/A,Financial Services
Lenovo,Morrisville,NC,https://jobs.lenovo.com/en_US/careers,N/A,Technology
First Citizen's Bank,Raleigh,NC,https://jobs.firstcitizens.com/,Dan Zaremba,Financial Services
Bandwidth,Raleigh,NC,https://job-boards.greenhouse.io/bandwidth?offices%5B%5D=22724&departments%5B%5D=34012&departments%5B%5D=34000,N/A,Technology
Red Hat,Raleigh,NC,https://redhat.wd5.myworkdayjobs.com/jobs/?b=1486a0a4a8464c3b9ec482d4038deb99&a=bc33aa3152ec42d4995f4791a106ed09&d=c18026e77576010f6ef6126f4e43ec4a&e=3afab13eadf301a2eaafadcc15425800&c=c0dc068729fd100110e3536e3af70000,N/A,Technology
Deloitte,Raleigh,NC,https://apply.deloitte.com/en_US/careers/SearchJobs?sort=relevancy,Chris Jakuback,Consulting
Infosys,Raleigh,NC,https://digitalcareers.infosys.com/infosys/global-careers?job_type=graduate&location=USA,N/A,Technology
NVIDIA,Raleigh,NC,https://jobs.nvidia.com/careers?start=0&location=Raleigh&pid=893382124964&sort_by=timestamp&filter_distance=160&filter_include_remote=0&filter_job_category=engineering,N/A,Technology
Deutsche Bank,Raleigh,NC,https://careers.db.com/professionals/search-roles/#/professional/results/?divisionProf=10052&country=231&city=119,N/A,Financial Services
Sciome,RTP,NC,https://www.sciome.com/careers/,N/A,Technology
Truist,Winston-Salem,NC,https://careers.truist.com/us/en/,N/A,Financial Services
Hanesbrands,Winston-Salem,NC,https://careers.hanes.com/,N/A,Consumer Goods
Legna,Winston-Salem,NC,https://legna-software.breezy.hr/,N/A,Technology
KPMG,Winston-Salem,NC,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Early%20Career%7C&location-filter=Raleigh%2C%20NC%7C&spage=1,N/A,Consulting
Brock Solutions,Winston-Salem,NC,https://www.brocksolutions.com/careers/,N/A,Engineering
Alten Technology,Winston-Salem,NC,https://www.alten.com/careers/,N/A,Engineering
Verizon,Basking Ridge,NJ,https://mycareer.verizon.com/,N/A,Telecommunications
Haleon,Berkeley Heights,NJ,https://careers.haleon.com/careers?start=0&location=New+Providence%2C+New+Jersey%2C+US&pid=563705891560364&sort_by=distance&filter_distance=80&filter_include_remote=1,N/A,Healthcare
Fiserv,Berkely Heights,NJ,https://careers.fiserv.com/us/en,N/A,Financial Services
Bell Labs,New Brunswick,NJ,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=bell+labs&location=New+Providence%2C+New+Jersey%2C+United+States&locationId=100000074929226&locationLevel=city&mode=location&radius=25&radiusUnit=MI,N/A,Technology
Barclays,Whippany,NJ,https://search.jobs.barclays/search-jobs/New%20Jersey%2C%20US/13015/3/6252001-5101760/40x16706/-74x49987/50/2,Dan Zaremba? (Used to work there),Financial Services
JPMorgan,New York,NY,https://www.jpmorganchase.com/careers,N/A,Financial Services
Bloomberg,New York,NY,https://bloomberg.avature.net/careers/SearchJobs,N/A,Financial Services
Goldman Sachs,New York,NY,https://www.goldmansachs.com/careers,N/A,Financial Services
Pfizer,New York,NY,https://www.pfizer.com/about/careers/search-results?langcode=en&count=50&sort=latest,N/A,Healthcare
Lockheed Martin,Arlington,VA,https://www.lockheedmartinjobs.com/search-jobs/Arlington%2C%20Arlington%20County%2C%20VA/694/4/6252001-6254928-4744725-4744709/38x88101/-77x10428/50/2,N/A,Defense & Aerospace
Peraton,Herndon,VA,https://www.careers.peraton.com/search-jobs?category=Cyber%20Security%2CInformation%20Technology&location=D.C.%2CNorth%20Carolina%2CVirginia,N/A,Defense & Aerospace
Markel Corporation,Innsbrook,VA,https://www.markel.com/about-us/careers,N/A,Financial Services
Northrup Grumman,McLean,VA,https://www.northropgrumman.com/careers,N/A,Defense & Aerospace
Appian,McLean,VA,https://careers.appian.com/jobs?text=&jobs-location=jobs-location%3Amclean--virginia,Dominick Cardone,Technology
MITRE,McLean,VA,https://careers.mitre.org/us/en,N/A,Defense & Aerospace
Owens & Minor,Mechanicsville,VA,https://www.owens-minor.com/about/careers/,N/A,Healthcare
Booz Allen,Norfolk,VA,https://careers.boozallen.com/jobs/search,WIlliam Westerkamp?,Consulting
Sentara,Norfolk,VA,https://www.sentaracareers.com/,N/A,Healthcare
ADP,Norfolk,VA,https://jobs.adp.com/en/,N/A,Technology
CACI,Reston,VA,https://careers.caci.com/,N/A,Defense & Aerospace
Google,Reston,VA,https://www.google.com/about/careers/applications/jobs/results,N/A,Technology
Microsoft,Reston,VA,https://careers.microsoft.com/v2/global/en/home.html,Jackson Greer,Technology
Capital One,Richmond,VA,https://www.capitalonecareers.com/search-jobs,"Chris Verbaro, Debdip Sengupta",Financial Services
Dominion Energy,Richmond,VA,https://careers.dominionenergy.com/search/?q=Computer+Science&q2=&alertId=&title=&location=Richmond%2C+VA&date=&facility=#searchresults,N/A,Energy
Genworth,Richmond,VA,https://careers.genworth.com/us/en/,N/A,Financial Services
Apex Systems,Richmond,VA,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=Richmond%2C%20VA%2C%20USA&radius=50&page=1&rows=25&query=Computer%20Science&state=VA&city=Richmond&address_lat=37.5407246&address_lng=-77.4360481&remote=,N/A,Technology
SingleStone,Richmond,VA,https://recruiting.paylocity.com/recruiting/jobs/All/8f2dcce3-2e60-4dc0-ac44-6d8b569e4c80/SS-Career-page,N/A,Consulting
CoStar,Richmond,VA,https://careers.costargroup.com/careers/search?query=Software%20Development&location=Richmond%2C%20VA%2C%20United%20States&pid=446717996297&domain=costar.com&sort_by=relevance&triggerGoButton=true,Joshua Kline,Real Estate
CereHive,Richmond,VA,https://cerehive.com/careers/,N/A,Technology
PFG,Richmond,VA,https://www.pfgc.com/careers,N/A,Food & Beverage
Leidos,Richmond,VA,https://careers.leidos.com/,Tashfin Hassan,Defense & Aerospace
Luck Stone Corporation,Richmond,VA,https://www.luckstone.com/careers,N/A,Materials
AdvanSix,Richmond,VA,https://www.advansix.com/people-careers/job-search/?_job_departments=digital-transformation-technology&_job_locations=chester-va,N/A,Chemicals
